㓦劃	bo4 hua4
狗子夾尾巴	gou3 zi5 jia2 wei3 ba5
狗屁倒灶	gou3 pi4 dao3 zao4
狗心狗行	gou3 xin1 gou3 xing4
狗拿耗子	gou3 na2 hao4 zi5
狗探湯	gou3 tan1 tang1
狗改不了吃屎	gou3 gai3 bu4 liao3 chi1 shi3
狗日的糧食	gou3 ri4 de5 liang2 shi5
狗氣	gou3 qi5
狗氣殺	gou3 qi4 sha4
狗爪子	gou3 zhua3 zi5
狗玩兒的	gou3 wan2 er5 de5
狗皮倒灶	gou3 pi2 dao3 zao4
狗監	gou3 jian4
狗眼看人低	gou3 yan3 kan4 ren2 di1
狗腿子	gou3 tui3 zi5
狗血噴臉	gou3 xie3 pen1 lian3
狗血噴頭	gou3 xie3 pen1 tou2
狗血淋頭	gou3 xie3 lin2 tou2
狗血淋頭	gou3 xue4 lin2 tou2
狗行狼心	gou3 xing2 lang2 xin1
狗豆子	gou3 dou4 zi5
狗追耗子	gou3 zhui1 hao4 zi5
狗逮老鼠	gou3 dai4 lao3 shu3
狗雜種	gou3 za2 zhong3
狗顛屁股	gou3 dian1 pi4 gu5
狗骨頭	gou3 gu2 tou5
狙伺	ju1 si4
狙刺	ju1 ci4
狙擊	ju1 ji2
狠惡	hen3 e4
狧糠及米	ta4 kang1 ji2 mi3
狩獵場	shou4 lie4 chang3
狸子	li2 zi5
狸狌	li2 sheng1
狹義相對論	xia2 yi4 xiang1 dui4 lun4
狹路相逢	xia2 lu4 xiang1 feng2
狹長	xia2 chang2
狼分	lang2 fen1
狼吃幞頭	lang2 chi1 pu2 tou2
狼吞虎咽	lang2 tun1 hu3 yan4
狼多肉少	lang2 duo1 rou4 shao3
狼奔豕突	lang2 ben1 shi3 tu1
狼奔豕突	lang2 ben1 shi3 tu2
狼奔鼠竄	lang2 ben1 shu3 cuan4
狼崽子	lang2 zai3 zi5
狼心狗行	lang2 xin1 gou3 xing4
狼狽為奸	lang2 bei4 wei2 jian1
狼狽相倚	lang2 bei4 xiang1 yi3
狼藉	lang2 ji2
狼號鬼叫	lang2 hao2 gui3 jiao4
狼號鬼哭	lang2 hao2 gui3 ku1
猒倦	yan4 juan4
猒猒	yan4 yan4
猗儺	e3 nuo2
猗嗟	yi3 jie1
猗猗靡靡	yi1 yi1 mi3 mi3
猗萎	yi1 wei3
猗靡	yi1 mi3
猗頓	yi1 dun4
猗頓	yi3 dun4
猛一看	meng3 yi2 kan4
猛不防	meng3 bu5 fang2
猛個勁	meng3 ge4 jin4
猛勁	meng3 jin4
猛勁兒	meng3 jin4 er5
猛可裡	meng3 ke3 li5
猛地	meng3 de5
猛地裡	meng3 di4 li3
猛子	meng3 zi5
猛將	meng3 jiang4
猛殺	meng3 sha4
猛然間	meng3 ran2 jian1
猛省	meng3 xing3
猛著先鞭	meng3 zhuo2 xian1 bian1
猛著祖鞭	meng3 zhuo2 zu3 bian1
猛衝	meng3 chong1
猛跌	meng3 die2
猜不著	cai1 bu4 zhao2
猜不透	cai1 bu5 tou4
猜中	cai1 zhong4
猜啞謎	cai1 ya3 mi2
猜度	cai1 du4
猜度	cai1 duo4
猜得透	cai1 de5 tou4
猜調	cai1 diao4
猜謎兒	cai1 mi2 er5
猝嗟	cu4 jie1
猝地	cu4 di4
猞猁孫	she4 li4 sun1
猢猻大王	hu2 sun1 dai4 wang2
猢猻散	hu2 sun1 san4
猥當大任	wei3 dang1 da4 ren4
猥褻性暴露	wei3 xie4 xing4 bao4 lu4
猩猩	xing1 xing5
猰貐	ya4 yu3
猴子	hou2 zi5
猴子似的	hou2 zi5 si4 de5
猴子屁股	hou2 zi5 pi4 gu3
猴子扮戲	hou2 zi5 ban4 xi4
猴子稱大王	hou2 zi5 cheng1 da4 wang2
猴孩子	hou2 hai2 zi5
猴崽子	hou2 zai3 zi5
猵狙	pian4 ju1
猵獺	bian1 ta4
猶太教	you2 tai4 jiao4
猶太教堂	you2 tai4 jiao4 tang2
猶未為晚	you2 wei4 wei2 wan3
猶魚得水	you2 yu2 de2 shui3
猸子	mei2 zi5
猼且	pao2 ju1
猼訑	bo2 yi2
猾猾突突	hua2 hua2 tu2 tu2
猾賊	hua2 ze2
猿穴壞山	yuan2 xue4 guai4 shan1
獃子	dai1 zi5
獃根子	dai1 gen1 zi5
獄豻	yu4 an4
獅子	shi1 zi5
獅子口	shi1 zi5 kou3
獅子吼	shi1 zi5 hou3
獅子大開口	shi1 zi5 da4 kai1 kou3
獅子山	shi1 zi3 shan1
獅子山	shi1 zi5 shan1
獅子山共和國	shi1 zi3 shan1 gong4 he2 guo2
獅子山區	shi1 zi5 shan1 qu1
獅子座	shi1 zi5 zuo4
獅子搏兔	shi1 zi5 bo2 tu4
獅子會	shi1 zi5 hui4
獅子林園	shi1 zi5 lin2 yuan2
獅子狗	shi1 zi5 gou3
獅子頭	shi1 zi5 tou2
獎勵旅行	jiang3 li4 lv3 xing2
獎得主	jiang3 de2 zhu3
獎掖	jiang3 ye4
獏㺔	mu2 hui1
獏猺	mu2 yao2
獐子	zhang1 zi5
獝狂	xu4 kuang2
獠子	liao2 zi5
獨到之處	du2 dao4 zhi1 chu4
獨創	du2 chuang4
獨創一格	du2 chuang4 yi4 ge2
獨力難持	du2 li4 nan2 chi2
獨力難支	du2 li4 nan2 zhi1
獨占	du2 zhan4
獨占花魁	du2 zhan4 hua1 kui2
獨占資本	du2 zhan4 zi1 ben3
獨占鰲頭	du2 zhan4 ao2 tou2
獨占鼇頭	du2 zhan4 ao2 tou2
獨吃自痾	du2 chi1 zi4 e1
獨在異鄉為異客	du2 zai4 yi4 xiang1 wei2 yi4 ke4
獨守空房	du2 shou3 kong1 fang2
獨家生意	du2 jia1 sheng1 yi5
獨宿	du2 su4
獨居監禁	du2 ju1 jian1 jin4
獨挑	du2 tiao1
獨擅勝場	du2 shan4 sheng4 chang2
獨攬市場	du2 lan3 shi4 chang3
獨斷專行	du2 duan4 zhuan1 xing2
獨斷獨行	du2 duan4 du2 xing2
獨曲	du2 qu3
獨木難支	du2 mu4 nan2 zhi1
獨根孤種	du2 gen1 gu1 zhong3
獨樂樂	du2 yue4 le4
獨步當時	du2 bu4 dang1 shi2
獨當	du2 dang1
獨當一面	du2 dang1 yi2 mian4
獨立鑽石	du2 li4 zuan4 shi2
獨處	du2 chu3
獨行	du2 xing2
獨行	du2 xing4
獨行俠	du2 xing2 xia2
獨行其是	du2 xing2 qi2 shi4
獨行其道	du2 xing2 qi2 dao4
獨行大盜	du2 xing2 da4 dao4
獨行獨斷	du2 xing2 du2 duan4
獨門子貨	du2 men2 zi5 huo4
獨院兒	du2 yuan4 er5
獨陽則不長	du2 yang2 ze2 bu4 zhang3
獬豸冠	xie4 zhi4 guan1
獰惡	ning2 e4
獰惡可怖	ning2 e4 ke3 bu4
獲利率	huo4 li4 lv4
獲得	huo4 de2
獲得勝利	huo4 de2 sheng4 li4
獲得性	huo4 de2 xing4
獲得者	huo4 de2 zhe3
獲鹿縣	huai2 lu4 xian4
獵場	lie4 chang3
獵較	lie4 jue2
獸圈	shou4 juan4
獸聚鳥散	shou4 ju4 niao3 san4
獸行	shou4 xing2
獸行	shou4 xing4
獺祭	ta4 ji4
獺祭魚	ta4 ji4 yu2
獻拙	xian4 zhuo2
玄了	xuan2 liao3
玄參	xuan2 shen1
玄塞	xuan2 sai4
玄奘	xuan2 zang4
玄教	xuan2 jiao4
玄混	xuan2 hun4
玄祕	xuan2 mi4
玄都	xuan2 du1
玄闕	xuan2 que4
率以為常	shuai4 yi3 wei2 chang2
率先	shuai4 xian1
率同	shuai4 tong2
率土之濱	shuai4 tu3 zhi1 bin1
率土同慶	shuai4 tu3 tong2 qing4
率土宅心	shuai4 tu3 zhai2 xin1
率土歸心	shuai4 tu3 gui1 xin1
率師	shuai4 shi1
率性	shuai4 xing4
率更	lv4 geng1
率然	shuai4 ran2
率爾	shuai4 er3
率爾成章	shuai4 er3 cheng2 zhang1
率爾操觚	shuai4 er3 cao1 gu1
率獸食人	shuai4 shou4 shi2 ren2
率率	shuai4 shuai4
率由卓章	shuai4 you2 zhuo2 zhang1
率由舊則	shuai4 you2 jiu4 ze2
率由舊章	shuai4 you2 jiu4 zhang1
率皆	shuai4 jie1
率直	shuai4 zhi2
率真	shuai4 zhen1
率隊	shuai4 dui4
率領	shuai4 ling3
率馬以驥	shuai4 ma3 yi3 ji4
玉倒	yu4 dao3
玉勒	yu4 le4
玉勒雕鞍	yu4 le4 diao1 an1
玉卮無當	yu4 zhi1 wu2 dang4
玉參差	yu4 cen1 ci1
玉尺量才	yu4 chi3 liang2 cai2
玉屏侗族自治縣	yu4 ping2 dong4 zu2 zi4 zhi4 xian4
玉屏縣	yu4 ping2 xian4
玉山傾倒	yu4 shan1 qing1 dao3
玉山將崩	yu4 shan1 jiang1 beng1
玉林地區	yu4 lin2 di4 qu1
玉柏	yu4 bo2
玉樓金闕	yu4 lou2 jin1 que4
玉樹藏族自治州	yu4 shu4 zang4 zu2 zi4 zhi4 zhou1
玉液	yu4 yi4
玉液瓊漿	yu4 yi4 qiong2 jiang1
玉溪地區	yu4 xi1 di4 qu1
玉燕投懷	yu4 yan4 tou2 huai2
玉石不分	yu4 shi2 bu4 fen1
玉米	yu4 mi5
玉米片	yu4 mi3 pian4
玉米糖漿	yu4 mi3 tang2 jiang1
玉米螟	yu4 mi5 ming2
玉粳	yu4 geng1
玉色	yu4 se4
玉色	yu4 shai5
玉蘭片	yu4 lan2 pian4
玉質金相	yu4 zhi2 jin1 xiang4
玉質金相	yu4 zhi4 jin1 xiang4
玉闕	yu4 que4
玉露	yu4 lu4
玉露如珠	yu4 lu4 ru2 zhu1
玉餔	yu4 bu1
玉體違和	yu4 ti3 wei2 he2
王侯將相	wang2 hou2 jiang4 xiang4
王儲	wang2 chu2
王八	wang2 ba5
王八看綠豆	wang2 ba5 kan4 lv4 dou4
王八羔子	wang2 ba5 gao1 zi5
王八蛋	wang2 ba5 dan4
王冠	wang2 guan1
王叔和	wang2 shu2 he2
王君如	wang2 xin1 ling2
王天下	wang4 tian1 xia4
王婆子賣了磨	wang2 po2 zi5 mai4 le5 mo4
王度	wang2 du4
王得祿墓	wang2 de2 lu4 mu4
王應麟	wang2 ying4 lin2
王敦擊壺	wang2 dun1 ji2 hu2
王朝	wang2 chao2
王母娘娘	wang2 mu3 niang2 niang5
王漿	wang2 jiang1
王爺	wang2 ye5
王蒙	wang2 meng2
王虺	wang2 hui3
王貢彈冠	wang2 gong4 tan2 guan1
王賁	wang2 ben1
王跡	wang2 ji1
王道	wang2 dao4
王道	wang2 dao5
王長	wang4 zhang3
玍古	ga3 gu5
玍雜子	ga3 za2 zi5
玢岩	bin1 yan2
玢璘	bin1 lin2
玩不得的	wan2 bu5 de2 de5
玩不轉	wan2 bu5 zhuan4
玩世	wan4 shi4
玩世不恭	wan4 shi4 bu4 gong1
玩世不羈	wan4 shi4 bu4 ji1
玩人喪德	wan2 ren2 sang4 de2
玩人喪德	wan4 ren2 sang4 de2
玩兒	wan2 er5
玩兒不轉	wan2 er5 bu2 zhuan4
玩兒命	wan2 er5 ming4
玩兒壞	wan2 er5 huai4
玩兒完	wan2 er5 wan2
玩兒得轉	wan2 er5 de2 zhuan4
玩兒票	wan2 er5 piao4
玩兒花招	wan2 er5 hua1 zhao1
玩其磧礫	wan4 qi2 qi4 li4
玩味	wan4 wei4
玩好	wan4 hao4
玩弄	wan2 nong4
玩弄	wan4 nong4
玩弄詞藻	wan2 nong4 ci2 zao3
玩得轉	wan2 de5 zhuan4
玩忽	wan4 hu1
玩意兒	wan2 yi4 er5
玩愒	wan4 kai4
玩日愒歲	wan4 ri4 kai4 sui4
玩樂	wan2 le4
玩歲愒日	wan4 sui4 kai4 ri4
玩法	wan4 fa3
玩物	wan2 wu4
玩物	wan4 wu4
玩物喪志	wan2 wu4 sang4 zhi4
玩物喪志	wan4 wu4 sang4 zhi4
玩習	wan4 xi2
玩興	wan2 xing4
玩花頭	wan2 hua1 tou5
玩藝兒	wan2 yi4 er5
玩貓和老鼠的遊戲	wan2 mao1 han4 lao3 shu3 de5 you2 xi4
玩貓和老鼠的遊戲	wan2 mao1 he2 lao3 shu3 de5 you2 xi4
玩賞	wan4 shang3
玫瑰	mei2 gui5
玫瑰紅	mei2 gui5 hong2
玫瑰花	mei2 gui5 hua1
玳瑁	dai4 mei4
玳瑁梁	dai4 mei4 liang2
玳瑁殼	dai4 mao4 ke2
玳瑁筵	dai4 mei4 yan2
玷辱	dian4 ru4
玻利維亞共和國	bo1 li4 wei2 ya3 gong4 he2 guo2
玻利維亞共和國	bo1 li4 wei2 ya4 gong4 he2 guo2
玻尿酸	bo1 niao4 suan1
玻片	bo1 pian4
玻璃	bo1 li5
玻璃化	bo1 li5 hua4
玻璃圈	bo1 li5 quan1
玻璃小鞋	bo1 li5 xiao3 xie2
玻璃布	bo1 li5 bu4
玻璃帷幕	bo1 li5 wei2 mu4
玻璃心肝	bo1 li5 xin1 gan1
玻璃杯	bo1 li5 bei1
玻璃泉	bo1 li5 quan2
玻璃浮雕	bo1 li5 fu2 diao1
玻璃液	bo1 li5 ye4
玻璃烤	bo1 li5 kao3
玻璃版	bo1 li5 ban3
玻璃狀態	bo1 li5 zhuang4 tai4
玻璃畫	bo1 li5 hua4
玻璃砂	bo1 li5 sha1
玻璃磚	bo1 li5 zhuan1
玻璃窗	bo1 li5 chuang1
玻璃管	bo1 li5 guan3
玻璃粉	bo1 li5 fen3
玻璃紙	bo1 li5 zhi3
玻璃絲	bo1 li5 si1
玻璃絲襪	bo1 li5 si1 wa4
玻璃纖維	bo1 li5 xian1 wei2
玻璃質肥料	bo1 li5 zhi2 fei2 liao4
玻璃質肥料	bo1 li5 zhi4 fei2 liao4
玻璃鋼	bo1 li5 gang1
玻璃體	bo1 li5 ti3
玻色子	bo1 se4 zi5
珍‧奧斯汀	zhen1 eng3 ao4 si1 ting1
珍惜	zhen1 xi2
珍玩	zhen1 wan4
珍珠丸子	zhen1 zhu1 wan2 zi5
珍珠小番茄	zhen1 zhu1 xiao3 fan1 qie2
珍藏	zhen1 cang2
珍藏密斂	zhen1 cang2 mi4 lian4
珍重	zhen1 zhong4
珠圍翠擁	zhu1 wei2 cui4 yong3
珠子	zhu1 zi5
珠宮貝闕	zhu1 gong1 bei4 que4
珠沉玉沒	zhu1 chen2 yu4 mo4
珠流璧轉	zhu1 liu2 bi4 zhuan3
珠淚偷彈	zhu1 lei4 tou1 tan2
珠玉在傍	zhu1 yu4 zai4 pang2
珠璣咳唾	zhu1 ji1 ke2 tuo4
珠胎暗結	zhu1 tai1 an4 jie2
珠蚌	zhu1 bang4
珠還	zhu1 huan2
珠還合浦	zhu1 huan2 he2 pu3
珠露茶	zhu1 lu4 cha2
班功行賞	ban1 gong1 xing2 shang3
班姬詠扇	ban1 ji1 yong3 shan4
班子	ban1 zi5
班師回朝	ban1 shi1 hui2 chao2
班師得勝	ban1 shi1 de2 sheng4
班強森	ban1 qiang2 sen1
班禪喇嘛	ban1 chan2 la3 ma5
班荊相對	ban1 jing1 xiang1 dui4
班行	ban1 hang2
班輩兒	ban1 bei4 er5
班都斯山	ban1 du1 si1 shan1
班長	ban1 zhang3
班門弄斧	ban1 men2 nong4 fu3
班鳩跌彈	ban1 jiu1 die2 dan4
現代建築	xian4 dai4 jian4 zhu2
現代音樂	xian4 dai4 yin1 yue4
現在分詞	xian4 zai4 fen1 ci2
現在是過去鑰匙	xian4 zai4 shi4 guo4 qu5 yao4 shi5
現場報道	xian4 chang3 bao4 dao4
現場採訪	xian4 chang3 cai3 fang3
現場會	xian4 chang3 hui4
現場會議	xian4 chang3 hui4 yi4
現場直播	xian4 chang3 zhi2 bo1
現場節目	xian4 chang2 jie2 mu4
現場視察	xian4 chang3 shi4 cha2
現場調查	xian4 chang3 diao4 cha2
現弄	xian4 nong5
現期	xian4 qi2
現磨	xian4 mo2
現行	xian4 xing2
現行法	xian4 xing2 fa3
現行犯	xian4 xing2 fan4
現貨市場	xian4 huo4 shi4 chang2
現量相違	xian4 liang4 xiang1 wei2
現金流量	xian4 jin1 liu2 liang4
現金流量表	xian4 jin1 liu2 liang4 biao3
現金給付	xian4 jin1 ji3 fu4
琀玉	han4 yu4
球僮	qiu2 tong2
球場會館	qiu2 chang3 hui4 guan3
球孢子菌病	qiu2 bao1 zi3 jun1 bing4
球差	qiu2 cha1
球彈	qiu2 dan4
球監	qiu2 jian1
球磨機	qiu2 mo2 ji1
球腔菌	qiu2 qiang1 jun4
琅邪	lang2 ye2
琅邪山	lang2 ye2 shan1
琅邪台刻石	lang2 ye2 tai2 ke4 shi2
琅邪臺刻石	lang2 ye2 tai2 ke4 shi2
理不勝辭	li3 bu4 sheng1 ci2
理事長	li3 shi4 zhang3
理固當然	li3 gu4 dang1 ran2
理塞	li3 se4
理得辭順	li3 de2 ci2 shun4
理性知識	li3 xing4 zhi1 shi5
理性與感性	li3 xing4 yu3 gan3 xing4
理性認識	li3 xing4 ren4 shi4
理性認識	li3 xing4 ren4 shi5
理應	li3 ying1
理所當然	li3 suo3 dang1 ran2
理教	li3 jiao4
理數	li3 shu4
理當	li3 dang1
理監事	li3 jian1 shi4
理紛解結	li3 fen1 jie3 jie2
理結	li3 jie2
理藩院	li3 fan2 yuan4
理論假設	li3 lun4 jia3 she4
理識	li3 shi4
理髮	li3 fa3
理髮匠	li3 fa3 jiang4
理髮師	li3 fa3 shi1
理髮師傅	li3 fa3 shi1 fu4
理髮店	li3 fa3 dian4
理髮廳	li3 fa3 ting1
理鬍子	li3 hu2 zi5
琉璃喇叭	liu2 li2 la3 ba5
琢磨	zhuo2 mo2
琢磨	zuo2 mo5
琦行	qi2 xing4
琳‧戴維斯	lin2 eng3 dai4 wei2 si1
琴心相挑	qin2 xin1 xiang1 tiao3
琴瑟不調	qin2 se4 bu4 tiao2
琴瑟和好	qin2 se4 he2 hao3
琴瑟和諧	qin2 se4 he2 xie2
琴瑟和鳴	qin2 se4 he2 ming2
琴瑟失調	qin2 se4 shi1 tiao2
琴瑟相調	qin2 se4 xiang1 tiao2
琴瑟調和	qin2 se4 tiao2 he2
琵琶	pi2 pa5
琵琶行	pi2 pa2 xing2
琵琶行	pi2 pa5 xing2
琵琶調	pi2 pa2 diao4
瑕瑜互見	xia2 yu2 hu4 xian4
瑜伽師地論	yu2 jia1 shi1 di4 lun4
瑜伽行派	yu2 jia1 xing2 pai4
瑞應	rui4 ying4
瑞相	rui4 xiang4
瑟弄琴調	se4 nong4 qin2 tiao2
瑟調	se4 diao4
瑟調琴弄	se4 tiao2 qin2 nong4
瑣羅亞斯德教	suo3 luo2 ya3 si1 de2 jiao4
瑣羅亞斯德教	suo3 luo2 ya4 si1 de2 jiao4
瑤池閬苑	yao2 chi2 lang4 yuan4
瑤台銀闕	yao2 tai2 yin2 que4
瑤臺銀闕	yao2 tai2 yin2 que4
瑤華	yao2 hua1
瑤華	yao2 hua2
瑩嫇	ying2 meng2
瑪哩花	ma3 li3 hua1
瑪曲	ma3 qu3
瑪曲縣	ma3 qu3 xian4
瑪莉都鐸	ma3 li4 du1 duo2
瑪莎拉蒂	ma3 sha1 la1 di4
瑪莎葛蘭姆	ma3 sha1 ge3 lan2 mu3
瑪麗蓮‧夢露	ma3 li4 lian2 eng3 meng4 lou4
瑪麗蓮夢露	ma3 li4 lian2 meng4 lu4
瑯嬛記	lang2 huan2 ji4
瑯琊	lang2 ya2
瑯琊	lang2 ye2
瑯琊山	lang2 ye2 shan1
瑰意琦行	gui1 yi4 qi2 xing2
瑱圭	tian4 gui1
璚枝	qiong2 zhi1
璚漿	qiong2 jiang1
璞玉為石	pu2 yu4 wei2 shi2
璧還	bi4 huan2
環伺	huan2 si4
環境地質學	huan2 jing4 di4 zhi2 xue2
環境地質學	huan2 jing4 di4 zhi4 xue2
環境溫度	huan2 jing4 wen1 du4
環境行動主義	huan2 jing4 xing2 dong4 zhu3 yi4
環境質量	huan2 jing4 zhi2 liang4
環境質量	huan2 jing4 zhi4 liang4
環境重災區	huan2 jing4 zhong4 zai1 qu1
環太平洋地震帶	huan2 tai4 ping2 yang2 di4 zhen4 dai4
環形結構	huan2 xing2 jie2 gou4
環暈	huan2 yun4
環極渦旋	huan2 ji2 wo1 xuan2
環法自行車賽	huan2 fa3 zi4 xing2 che1 sai4
環渤海灣地區	huan2 bo2 hai3 wan1 di4 qu1
環球旅行	huan2 qiu2 lv3 xing2
環球時間	huan2 qiu2 shi2 jian1
環環相扣	huan2 huan2 xiang1 kou4
環繞喇叭	huan2 rao4 la3 ba5
環肥燕瘦	huan2 fei2 yan4 shou4
環行	huan2 xing2
瓊廚金穴	qiong2 chu2 jin1 xue4
瓊漿	qiong2 jiang1
瓊漿玉液	qiong2 jiang1 yu4 ye4
瓊漿金液	qiong2 jiang1 jin1 ye4
瓊結	qiong2 jie2
瓊結縣	qiong2 jie2 xian4
瓓玕	lan2 gan1
瓜分	gua1 fen1
瓜分豆剖	gua1 fen1 dou4 pou3
瓜剖豆分	gua1 pou3 dou4 fen1
瓜地馬拉	gua1 di4 ma3 la1
瓜地馬拉共和國	gua1 di4 ma3 la1 gong4 he2 guo2
瓜地馬拉市	gua1 di4 ma3 la1 shi4
瓜子	gua1 zi3
瓜子	gua1 zi5
瓜子殼	gua1 zi3 ke2
瓜字初分	gua1 zi4 chu1 fen1
瓜期	gua1 qi2
瓜熟蒂落	gua1 shu2 di4 luo4
瓜葛	gua1 ge2
瓜葛之親	gua1 ge2 zhi1 qin1
瓜蔓抄	gua1 man4 chao1
瓜達卡納爾島	gua1 da2 ka3 na4 er3 dao3
瓜達卡納爾戰役	gua1 da2 ka3 na4 er3 zhan4 yi4
瓟瓜	bo2 gua1
瓠子	hu4 zi5
瓠落	hu4 luo4
瓢帽子	piao2 mao4 zi5
瓢把子	piao2 ba3 zi5
瓢菌素	piao2 jun4 su4
瓣膜	ban4 mo4
瓤兒	rang2 er5
瓤子	rang2 zi5
瓦刀	wa4 dao1
瓦剌	wa3 la1
瓦努阿圖	wa3 nu3 a1 tu2
瓦匠	wa3 jiang5
瓦哈比教派	wa3 ha1 bi3 jiao4 pai4
瓦器蚌盤	wa3 qi4 bang4 pan2
瓦圈	wa3 quan1
瓦壟子	wa3 long3 zi5
瓦斯中毒	wa3 si1 zhong4 du2
瓦斯彈	wa3 si1 dan4
瓦楞	wa3 leng2
瓦楞子	wa3 leng2 zi5
瓦楞帽	wa3 leng2 mao4
瓦楞紙	wa3 leng2 zhi3
瓦片	wa3 pian4
瓦當	wa3 dang1
瓦當文	wa3 dang1 wen2
瓦西里耶維奇	wa3 xi1 li3 ye1 wei2 qi2
瓦解星散	wa3 jie3 xing1 san4
瓦解雲散	wa3 jie3 yun2 san4
瓦隆	wa3 long1
瓮中捉鱉	weng4 zhong1 zhuo1 bie1
瓮安	weng4 an1
瓮棺	weng4 guan1
瓮棺葬	weng4 guan1 zang4
瓮菜	weng4 cai4
瓴甋	ling2 di2
瓶刷子樹	ping2 shua1 zi5 shu4
瓶塞	ping2 sai1
瓶塞鑽	ping2 sai1 zuan4
瓶墜簪折	ping2 zhui4 zan1 zhe2
瓶子	ping2 zi5
瓶落水	ping2 luo4 shui3
瓷刻	ci2 ke1
甌子	ou1 zi5
甌窶	ou1 lou2
甑箄	zeng4 bei1
甕天蠡海	weng4 tian1 li2 hai3
甕盡杯乾	weng4 jin4 bei1 gan1
甕間吏部	weng4 jian1 li4 bu4
甘之如薺	gan1 zhi1 ru2 ji4
甘井子區	gan1 jing3 zi5 qu1
甘分	gan1 fen4
甘分隨時	gan1 fen4 sui2 shi2
甘南藏族自治州	gan1 nan2 zang4 zu2 zi4 zhi4 zhou1
甘地	gan1 di4
甘地主義	gan1 di4 zhu3 yi4
甘孜藏族自治州	gan1 zi1 zang4 zu2 zi4 zhi4 zhou1
甘心如薺	gan1 xin1 ru2 ji4
甘比亞共和國	gan1 bi3 ya3 gong4 he2 guo2
甘比亞共和國	gan1 bi3 ya4 gong4 he2 guo2
甘結	gan1 jie2
甘羅說趙王	gan1 luo2 shui4 zhao4 wang2
甘蔗顛子	gan1 zhe4 dian1 zi5
甘處下流	gan1 chu3 xia4 liu2
甘貧守分	gan1 pin2 shou3 fen4
甘貧樂道	gan1 pin2 le4 dao4
甘露	gan1 lu4
甘露之變	gan1 lu4 zhi1 bian4
甘露子	gan1 lu4 zi3
甘露水漿	gan1 lu4 shui3 jiang1
甘露法雨	gan1 lu4 fa3 yu3
甘露滋心	gan1 lu4 zi1 xin1
甘露糖醇	gan1 lu4 tang2 chun2
甘露醇	gan1 lu4 chun2
甚事	shen2 shi4
甚人	shen2 ren2
甚底	shen2 de5
甚為	shen4 wei2
甚的	shen2 de5
甚麼	she2 me5
甚麼	shen2 me5
甚麼事	shen2 me5 shi4
甚麼人	shen2 me5 ren2
甚麼打緊	shen2 me5 da3 jin3
甚麼是	shen2 me5 shi4
甚麼時候	shen2 me5 shi2 hou5
甚麼東西	shen2 me5 dong1 xi5
甚麼樣	shen2 me5 yang4
甚麼的	shen2 me5 de5
甜圈	tian2 quan1
甜根子草	tian2 gen1 zi5 cao3
甜甜圈	tian2 tian2 quan1
甜頭	tian2 tou5
生分	sheng1 fen4
生剌剌	sheng1 la4 la4
生命週期	sheng1 ming4 zhou1 qi2
生地	sheng1 di4
生地方	sheng1 di4 fang5
生存空間	sheng1 cun2 kong1 jian1
生張熟魏	sheng1 zhang1 shou2 wei4
生息	sheng1 xi2
生息蕃庶	sheng1 xi2 fan2 shu4
生悶氣	sheng1 men4 qi4
生意	sheng1 yi4
生意	sheng1 yi5
生意不成仁義在	sheng1 yi5 bu4 cheng2 ren2 yi4 zai4
生意人	sheng1 yi5 ren2
生意口	sheng1 yi5 kou3
生意擔子	sheng1 yi5 dan4 zi5
生意經	sheng1 yi5 jing1
生意興隆	sheng1 yi4 xing1 long2
生態圈	sheng1 tai4 quan1
生態地位	sheng1 tai4 di4 wei4
生態結構	sheng1 tai4 jie2 gou4
生拉硬拽	sheng1 la1 ying4 zhuai4
生拖死拽	sheng1 tuo1 si3 zhuai4
生日卡	sheng1 ri4 ka3
生日快樂	sheng1 ri4 kuai4 le4
生日賀卡	sheng1 ri4 he4 ka3
生有地	sheng1 you3 di4
生朝	sheng1 zhao1
生死分定	sheng1 si3 fen4 ding4
生死肉骨	sheng1 si3 ru4 gu3
生死與共	sheng1 si3 yu3 gong4
生死與奪	sheng1 si3 yu3 duo2
生殺與奪	sheng1 sha1 yu3 duo2
生活圈	sheng1 huo2 quan1
生活態度	sheng1 huo2 tai4 du4
生活教育	sheng1 huo2 jiao4 yu4
生活空間	sheng1 huo2 kong1 jian1
生活質量	sheng1 huo2 zhi2 liang4
生活質量	sheng1 huo2 zhi4 liang4
生煞煞	sheng1 sha4 sha4
生物倫琴當量	sheng1 wu4 lun2 qin2 dang1 liang4
生物傳感器	sheng1 wu4 chuan2 gan3 qi4
生物分析法	sheng1 wu4 fen1 xi1 fa3
生物劑量儀	sheng1 wu4 ji4 liang4 yi2
生物反應器	sheng1 wu4 fan3 ying4 qi4
生物圈	sheng1 wu4 quan1
生物彈藥	sheng1 wu4 dan4 yao4
生物晶片	sheng1 wu4 jing1 pian4
生物相	sheng1 wu4 xiang4
生物量	sheng1 wu4 liang4
生物降解	sheng1 wu4 jiang4 jie3
生物高分子	sheng1 wu4 gao1 fen1 zi3
生生不息	sheng1 sheng1 bu4 xi2
生產反應堆	sheng1 chan3 fan3 ying4 dui1
生產指數	sheng1 chan3 zhi3 shu4
生產率	sheng1 chan3 lv4
生產結構	sheng1 chan3 jie2 gou4
生產量	sheng1 chan3 liang4
生發	sheng1 fa5
生相	sheng1 xiang4
